SSN,Disease_Type,Age_Group,Gender,State,Race,Smoking,Alcohol_Consumption,Education_Level,Insurance_Type,Exercise_Frequency,Diet_Quality,Sleep_Hours,Stress_Level,Occupation,Family_History,BMI_Category,Income_Level
965-22-6354,Arthritis,31-45,Other,Virginia,Hispanic,Former,Regular,Less than high school,Private,3-4 times/week,Poor,7-8,Medium,Manual Labor,No,Normal,"$100,000+"
524-18-7183,Type 2 Diabetes,46-60,Other,Massachusetts,Asian,Former,Never,Graduate degree,Medicare,Never,Excellent,7-8,Medium,Service Industry,Yes,Obese,"$75,000-$100,000"
430-38-7233,Multiple Sclerosis,46-60,Other,California,Caucasian,Never,Occasional,Some college,Private,3-4 times/week,Fair,6-7,High,Office/Desk Job,No,Overweight,"$50,000-$75,000"
878-82-1457,Chronic Respiratory Disease,61+,Female,Washington,Asian,Never,Never,Bachelor's degree,Uninsured,1-2 times/week,Poor,Less than 6,Medium,Retired,Yes,Normal,"$100,000+"
571-79-6703,Depression,46-60,Male,Michigan,Caucasian,Never,Occasional,High school graduate,Uninsured,Never,Good,6-7,High,Office/Desk Job,No,Underweight,"Less than $30,000"
239-10-8720,Fibromyalgia,61+,Male,California,Hispanic,Never,Occasional,Bachelor's degree,Medicare,Never,Good,Less than 6,Low,Retired,No,Normal,"$75,000-$100,000"
459-46-1947,Liver Disease,46-60,Female,Pennsylvania,Caucasian,Current,Never,High school graduate,Medicaid,1-2 times/week,Excellent,6-7,High,Unemployed,No,Overweight,"Less than $30,000"
726-61-1463,Hypertension,46-60,Female,Ohio,Other,Former,Occasional,Less than high school,Private,5+ times/week,Excellent,6-7,Low,Retired,Yes,Normal,"$100,000+"
580-15-6252,Breast Cancer,46-60,Other,Texas,Caucasian,Never,Regular,Bachelor's degree,Private,3-4 times/week,Good,Less than 6,High,Education,Yes,Overweight,"$75,000-$100,000"
140-51-4674,Sleep Apnea,31-45,Other,Illinois,Asian,Never,Occasional,Bachelor's degree,Uninsured,Never,Poor,Less than 6,Medium,Healthcare,Yes,Underweight,"$100,000+"
114-68-2850,Chronic Respiratory Disease,31-45,Male,Arizona,Hispanic,Never,Heavy,High school graduate,Medicare,3-4 times/week,Excellent,6-7,High,Unemployed,Yes,Overweight,"$75,000-$100,000"
900-90-4982,Type 2 Diabetes,18-30,Female,Massachusetts,Black,Never,Regular,Some college,Private,Never,Fair,8+,Low,Retired,No,Normal,"$50,000-$75,000"
726-68-8710,Arthritis,46-60,Female,Massachusetts,Other,Former,Heavy,High school graduate,Medicare,3-4 times/week,Poor,6-7,Medium,Healthcare,No,Normal,"$100,000+"
291-94-8757,Hypertension,46-60,Female,Texas,Native American,Former,Occasional,Graduate degree,Medicaid,1-2 times/week,Poor,Less than 6,Medium,Education,Yes,Obese,"$50,000-$75,000"
562-52-3117,Type 2 Diabetes,18-30,Male,California,Hispanic,Never,Heavy,Bachelor's degree,Medicaid,3-4 times/week,Poor,7-8,Medium,Office/Desk Job,Yes,Obese,"$75,000-$100,000"
292-43-8436,Type 2 Diabetes,18-30,Female,Massachusetts,Black,Former,Heavy,Less than high school,Medicaid,5+ times/week,Good,6-7,High,Retired,No,Underweight,"$75,000-$100,000"
938-84-1630,Sleep Apnea,31-45,Female,Texas,Hispanic,Former,Occasional,Bachelor's degree,Private,1-2 times/week,Good,Less than 6,Low,Retired,Yes,Obese,"$75,000-$100,000"
525-30-8690,Arthritis,31-45,Other,Washington,Native American,Former,Regular,Some college,Private,Never,Excellent,Less than 6,High,Education,Yes,Underweight,"$30,000-$50,000"
941-38-1167,Hypertension,61+,Female,Colorado,Asian,Current,Regular,Bachelor's degree,Private,1-2 times/week,Poor,Less than 6,Medium,Healthcare,Yes,Obese,"$75,000-$100,000"
930-53-3550,Fibromyalgia,46-60,Male,Florida,Asian,Former,Never,Some college,Uninsured,3-4 times/week,Fair,6-7,Low,Unemployed,No,Obese,"$50,000-$75,000"
393-78-8286,Liver Disease,61+,Male,California,Native American,Never,Never,Less than high school,Medicaid,Never,Fair,6-7,Low,Retired,Yes,Overweight,"Less than $30,000"
933-33-7872,Arthritis,31-45,Other,Georgia,Native American,Former,Occasional,Less than high school,Medicaid,5+ times/week,Fair,6-7,High,Retired,Yes,Underweight,"$30,000-$50,000"
253-19-3446,Breast Cancer,46-60,Other,Texas,Other,Never,Regular,High school graduate,Private,3-4 times/week,Poor,6-7,High,Service Industry,No,Underweight,"$75,000-$100,000"
893-75-2113,Chronic Respiratory Disease,31-45,Female,Arizona,Black,Former,Regular,Graduate degree,Uninsured,1-2 times/week,Excellent,Less than 6,Low,Unemployed,Yes,Normal,"$100,000+"
375-70-3828,Lung Cancer,61+,Other,Washington,Black,Current,Never,Less than high school,Medicare,Never,Excellent,8+,Medium,Retired,No,Obese,"$50,000-$75,000"
766-29-1489,Obesity,46-60,Female,Michigan,Hispanic,Current,Never,Graduate degree,Medicaid,5+ times/week,Poor,6-7,Low,Retired,Yes,Underweight,"$100,000+"
207-31-8043,Lung Cancer,46-60,Male,Virginia,Asian,Current,Regular,Less than high school,Uninsured,Never,Poor,7-8,Low,Education,No,Normal,"$75,000-$100,000"
320-33-6793,Arthritis,46-60,Other,Arizona,Asian,Current,Regular,Some college,Uninsured,Never,Fair,Less than 6,Low,Office/Desk Job,Yes,Normal,"$50,000-$75,000"
131-90-6369,Hypertension,61+,Female,Massachusetts,Black,Never,Never,Less than high school,Medicare,5+ times/week,Poor,Less than 6,Medium,Retired,Yes,Underweight,"$30,000-$50,000"
974-25-3913,Depression,46-60,Male,North Carolina,Other,Never,Heavy,High school graduate,Private,1-2 times/week,Poor,8+,Medium,Retired,No,Underweight,"$50,000-$75,000"
112-89-5639,Depression,31-45,Female,Illinois,Other,Former,Never,Graduate degree,Private,3-4 times/week,Poor,7-8,Medium,Healthcare,Yes,Overweight,"$75,000-$100,000"
782-43-6316,Sleep Apnea,46-60,Female,California,Caucasian,Never,Regular,High school graduate,Medicare,3-4 times/week,Poor,Less than 6,Low,Unemployed,No,Underweight,"Less than $30,000"
564-43-9604,Obesity,46-60,Female,California,Caucasian,Current,Occasional,Less than high school,Private,3-4 times/week,Poor,6-7,High,Healthcare,Yes,Underweight,"Less than $30,000"
781-21-9722,Chronic Respiratory Disease,31-45,Male,Michigan,Caucasian,Current,Heavy,High school graduate,Medicaid,5+ times/week,Good,6-7,High,Healthcare,Yes,Normal,"$100,000+"
276-95-3984,Obesity,61+,Other,Massachusetts,Asian,Never,Occasional,High school graduate,Medicaid,1-2 times/week,Excellent,6-7,Medium,Retired,Yes,Normal,"$75,000-$100,000"
248-11-1870,Arthritis,46-60,Other,Florida,Native American,Former,Never,Less than high school,Medicare,Never,Fair,8+,Low,Unemployed,No,Underweight,"$100,000+"
777-32-2358,Lung Cancer,46-60,Other,Arizona,Other,Current,Never,Less than high school,Medicare,Never,Poor,7-8,High,Manual Labor,Yes,Underweight,"$50,000-$75,000"
941-13-2778,Heart Disease,31-45,Male,Michigan,Black,Never,Occasional,High school graduate,Private,Never,Fair,Less than 6,High,Manual Labor,Yes,Obese,"$100,000+"
383-29-3081,Chronic Respiratory Disease,31-45,Other,Florida,Native American,Current,Heavy,High school graduate,Medicare,5+ times/week,Poor,7-8,Low,Education,No,Obese,"$100,000+"
353-65-1812,Breast Cancer,18-30,Male,Texas,Black,Never,Heavy,Graduate degree,Medicare,1-2 times/week,Good,8+,High,Retired,No,Normal,"Less than $30,000"
940-54-6249,Fibromyalgia,18-30,Male,Pennsylvania,Black,Current,Never,Bachelor's degree,Private,5+ times/week,Good,6-7,High,Manual Labor,Yes,Normal,"$100,000+"
287-11-1583,Sleep Apnea,31-45,Other,Massachusetts,Caucasian,Never,Heavy,Bachelor's degree,Uninsured,3-4 times/week,Good,6-7,Low,Unemployed,Yes,Overweight,"$100,000+"
187-20-5271,Multiple Sclerosis,61+,Other,Illinois,Black,Current,Regular,High school graduate,Medicaid,3-4 times/week,Excellent,Less than 6,Low,Retired,No,Overweight,"$50,000-$75,000"
925-87-1174,Chronic Respiratory Disease,61+,Female,New York,Hispanic,Former,Regular,Graduate degree,Medicare,1-2 times/week,Excellent,6-7,High,Retired,No,Normal,"$75,000-$100,000"
760-93-1182,Heart Disease,46-60,Male,Virginia,Other,Former,Occasional,Less than high school,Medicare,1-2 times/week,Poor,6-7,Low,Office/Desk Job,Yes,Overweight,"$30,000-$50,000"
582-80-4645,Sleep Apnea,46-60,Female,Illinois,Black,Current,Occasional,High school graduate,Medicare,Never,Poor,6-7,High,Unemployed,Yes,Normal,"$100,000+"
538-29-3422,Arthritis,46-60,Male,Colorado,Native American,Former,Regular,Bachelor's degree,Uninsured,Never,Excellent,6-7,Low,Service Industry,No,Overweight,"$100,000+"
280-21-4469,Colorectal Cancer,61+,Male,Michigan,Other,Former,Never,Bachelor's degree,Uninsured,3-4 times/week,Poor,Less than 6,High,Retired,No,Normal,"$100,000+"
528-45-6103,Lung Cancer,46-60,Female,Washington,Hispanic,Current,Regular,High school graduate,Uninsured,3-4 times/week,Fair,8+,Low,Healthcare,Yes,Normal,"$50,000-$75,000"
867-16-7890,Heart Disease,61+,Male,Texas,Caucasian,Never,Heavy,High school graduate,Medicare,Never,Good,Less than 6,High,Manual Labor,Yes,Overweight,"$30,000-$50,000"
298-72-2005,Heart Disease,61+,Other,North Carolina,Other,Current,Occasional,Graduate degree,Private,Never,Good,7-8,Medium,Retired,Yes,Normal,"$100,000+"
908-44-6777,Chronic Kidney Disease,46-60,Male,North Carolina,Native American,Current,Heavy,High school graduate,Medicaid,5+ times/week,Poor,8+,Low,Retired,No,Obese,"$100,000+"
305-84-1873,Arthritis,61+,Female,Arizona,Black,Former,Never,Graduate degree,Private,5+ times/week,Poor,8+,Low,Office/Desk Job,No,Normal,"$75,000-$100,000"
591-29-8481,Fibromyalgia,31-45,Male,Massachusetts,Caucasian,Never,Regular,Some college,Private,5+ times/week,Poor,6-7,Medium,Service Industry,Yes,Overweight,"$100,000+"
170-10-3072,Hypertension,61+,Female,California,Asian,Current,Regular,Graduate degree,Medicaid,Never,Excellent,8+,High,Retired,Yes,Obese,"$75,000-$100,000"
